CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,0,0,,,0.0,0.0,0.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
RED,6.0,09:59,1,3,"DANGUBIC, NEMANJA",P005942   ,Turnover (1),TO,0.0,0.0,Crvena Zvezda mts Belgrade,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,9,59,1.0,1.0,0.0,0.0,0.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
PAM,19.0,09:59,1,4,"SAN EMETERIO, FERNANDO",P000518   ,Steal (1),ST,0.0,0.0,Valencia Basket,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,9,59,1.0,1.0,0.0,0.0,0.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
PAM,21.0,09:24,1,5,"PLEISS, TIBOR",PLHK      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Valencia Basket,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,9,24,36.0,36.0,35.0,2.0,0.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
PAM,16.0,09:24,1,6,"VIVES, GUILLEM",P002361   ,Assist (1),AS,2.0,0.0,Valencia Basket,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,9,24,36.0,36.0,0.0,0.0,0.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
PAM,21.0,09:24,1,7,"PLEISS, TIBOR",PLHK      ,Foul Drawn (1),RV,2.0,0.0,Valencia Basket,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,9,24,36.0,36.0,0.0,0.0,0.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
RED,51.0,09:24,1,8,"BJELICA, MILKO",PCHX      ,Foul (1),CM,2.0,0.0,Crvena Zvezda mts Belgrade,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,9,24,36.0,36.0,0.0,0.0,0.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
PAM,21.0,09:24,1,9,"PLEISS, TIBOR",PLHK      ,Missed Free Throw (0/1 -  2 pt),FTA,2.0,0.0,Valencia Basket,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,9,24,36.0,36.0,0.0,0.0,0.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
RED,51.0,09:19,1,10,"BJELICA, MILKO",PCHX      ,Def Rebound (1),D,2.0,0.0,Crvena Zvezda mts Belgrade,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,9,19,41.0,41.0,5.0,0.0,0.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
RED,6.0,08:56,2,12,"DANGUBIC, NEMANJA",P005942   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Crvena Zvezda mts Belgrade,Valencia Basket,PAM,Crvena Zvezda mts Belgrade,RED,8,56,4.0,64.0,23.0,0.0,2.0,"SAN EMETERIO, FERNANDO","PLEISS, TIBOR","VIVES, GUILLEM","GREEN, ERICK","THOMAS, WILL","DANGUBIC, NEMANJA","BJELICA, MILKO","FELDEINE, JAMES","LESSORT, MATHIAS","ROCHESTIE, TAYLOR"
