CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,59,,          ,Begin Period,BP,0.0,0.0,,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,0,0,,,0.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,11.0,09:44,1,60,"MILUTINOV, NIKOLA",P003941   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,9,44,16.0,16.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
RED,6.0,09:42,1,61,"DANGUBIC, NEMANJA",P005942   ,Def Rebound (1),D,0.0,0.0,Crvena Zvezda mts Belgrade,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,9,42,18.0,18.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
RED,26.0,09:19,1,62,"LESSORT, MATHIAS",P003842   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Crvena Zvezda mts Belgrade,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,9,19,41.0,41.0,23.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,15.0,09:17,1,63,"PRINTEZIS, GEORGIOS",PAMM      ,Def Rebound (1),D,0.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,9,17,43.0,43.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,16.0,09:12,1,64,"PAPANIKOLAOU, KOSTAS",P001255   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,9,12,48.0,48.0,5.0,2.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
RED,6.0,08:55,2,66,"DANGUBIC, NEMANJA",P005942   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,Crvena Zvezda mts Belgrade,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,55,5.0,65.0,17.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
RED,51.0,08:55,2,68,"BJELICA, MILKO",PCHX      ,Foul (1),CM,2.0,0.0,Crvena Zvezda mts Belgrade,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,55,5.0,65.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,15.0,08:55,2,69,"PRINTEZIS, GEORGIOS",PAMM      ,Foul Drawn (1),RV,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,55,5.0,65.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,11.0,08:38,2,70,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (1/2 -  2 pt),2FGM,4.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,38,22.0,82.0,17.0,2.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,22.0,08:36,2,71,"ROBERTS, BRIAN",P002091   ,Assist (1),AS,4.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,36,24.0,84.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,16.0,08:27,2,72,"PAPANIKOLAOU, KOSTAS",P001255   ,Foul (1),CM,4.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,27,33.0,93.0,9.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
RED,14.0,08:27,2,73,"FELDEINE, JAMES",P005918   ,Foul Drawn (1),RV,4.0,0.0,Crvena Zvezda mts Belgrade,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,27,33.0,93.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
RED,22.0,08:20,2,74,"ROCHESTIE, TAYLOR",P002972   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,2.0,Crvena Zvezda mts Belgrade,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,20,40.0,100.0,7.0,0.0,2.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,11.0,08:06,2,75,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (2/3 -  4 pt),2FGM,6.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,6,54.0,114.0,14.0,2.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,13.0,08:06,2,76,"STRELNIEKS, JANIS",P000046   ,Assist (1),AS,6.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,6,54.0,114.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
RED,26.0,08:06,2,77,"LESSORT, MATHIAS",P003842   ,Foul (1),CM,6.0,2.0,Crvena Zvezda mts Belgrade,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,6,54.0,114.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,11.0,08:06,2,78,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (1),RV,6.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,6,54.0,114.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
OLY,11.0,08:06,2,79,"MILUTINOV, NIKOLA",P003941   ,Free Throw In (1/1 -  5 pt),FTM,7.0,2.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,8,6,54.0,114.0,0.0,1.0,0.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
RED,14.0,07:54,3,81,"FELDEINE, JAMES",P005918   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,4.0,Crvena Zvezda mts Belgrade,Olympiacos Piraeus,OLY,Crvena Zvezda mts Belgrade,RED,7,54,6.0,126.0,12.0,0.0,2.0,"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","ROBERTS, BRIAN","STRELNIEKS, JANIS","DANGUBIC, NEMANJA","LESSORT, MATHIAS","BJELICA, MILKO","FELDEINE, JAMES","ROCHESTIE, TAYLOR"
