CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,57,,          ,Begin Period,BP,0.0,0.0,,Unicaja Malaga,MAL,CSKA Moscow,CSK,0,0,,,,0.0,0.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
CSK,22.0,09:46,1,58,"HIGGINS, CORY",P006450   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,CSKA Moscow,Unicaja Malaga,MAL,CSKA Moscow,CSK,9,46,14.0,14.0,,0.0,2.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
MAL,17.0,09:35,1,59,"SHERMADINI, GIORGI",P001386   ,Turnover (1),TO,0.0,2.0,Unicaja Malaga,Unicaja Malaga,MAL,CSKA Moscow,CSK,9,35,25.0,25.0,11.0,0.0,0.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
CSK,41.0,09:35,1,60,"KURBANOV, NIKITA",PJLX      ,Steal (1),ST,0.0,2.0,CSKA Moscow,Unicaja Malaga,MAL,CSKA Moscow,CSK,9,35,25.0,25.0,0.0,0.0,0.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
CSK,41.0,09:35,1,61,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/1 -  2 pt),2FGM,0.0,4.0,CSKA Moscow,Unicaja Malaga,MAL,CSKA Moscow,CSK,9,35,25.0,25.0,0.0,0.0,2.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
CSK,42.0,09:12,1,62,"HINES, KYLE",P002812   ,Foul (1),CM,0.0,4.0,CSKA Moscow,Unicaja Malaga,MAL,CSKA Moscow,CSK,9,12,48.0,48.0,23.0,0.0,0.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
MAL,17.0,09:12,1,63,"SHERMADINI, GIORGI",P001386   ,Foul Drawn (1),RV,0.0,4.0,Unicaja Malaga,Unicaja Malaga,MAL,CSKA Moscow,CSK,9,12,48.0,48.0,0.0,0.0,0.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
MAL,3.0,08:55,2,65,"MCCALLUM, RAY",P008002   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,4.0,Unicaja Malaga,Unicaja Malaga,MAL,CSKA Moscow,CSK,8,55,5.0,65.0,17.0,0.0,0.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
CSK,20.0,08:51,2,66,"VORONTSEVICH, ANDREY",PLHI      ,Def Rebound (1),D,0.0,4.0,CSKA Moscow,Unicaja Malaga,MAL,CSKA Moscow,CSK,8,51,9.0,69.0,4.0,0.0,0.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
CSK,20.0,08:47,2,67,"VORONTSEVICH, ANDREY",PLHI      ,Three Pointer (1/1 -  3 pt),3FGM,0.0,7.0,CSKA Moscow,Unicaja Malaga,MAL,CSKA Moscow,CSK,8,47,13.0,73.0,4.0,0.0,3.0,"SHERMADINI, GIORGI","MCCALLUM, RAY","DIEZ, DANIEL","SALIN, SASU","BROOKS, JEFF","HIGGINS, CORY","KURBANOV, NIKITA","HINES, KYLE","VORONTSEVICH, ANDREY","DE COLO, NANDO"
