CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,0,0,,,0.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
TEL,18.0,09:49,1,3,"SEGEV, ITAY",P004161   ,Offensive Foul (1),OF,0.0,0.0,Maccabi FOX Tel Aviv,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,9,49,11.0,11.0,0.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
TEL,18.0,09:49,1,4,"SEGEV, ITAY",P004161   ,Turnover (1),TO,0.0,0.0,Maccabi FOX Tel Aviv,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,9,49,11.0,11.0,0.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
BAR,21.0,09:49,1,5,"SANDERS, RAKIM",P005001   ,Foul Drawn (1),RV,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,9,49,11.0,11.0,0.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
BAR,21.0,09:34,1,6,"SANDERS, RAKIM",P005001   ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,9,34,26.0,26.0,15.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
BAR,9.0,09:34,1,7,"HANGA, ADAM",P005099   ,Foul (1),CM,0.0,0.0,FC Barcelona Lassa,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,9,34,26.0,26.0,0.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
TEL,18.0,09:34,1,8,"SEGEV, ITAY",P004161   ,Foul Drawn (1),RV,0.0,0.0,Maccabi FOX Tel Aviv,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,9,34,26.0,26.0,0.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
TEL,18.0,09:30,1,9,"SEGEV, ITAY",P004161   ,Def Rebound (1),D,0.0,0.0,Maccabi FOX Tel Aviv,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,9,30,30.0,30.0,4.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
TEL,18.0,09:10,1,10,"SEGEV, ITAY",P004161   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Maccabi FOX Tel Aviv,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,9,10,50.0,50.0,20.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
TEL,43.0,09:03,1,11,"BOLDEN, JONAH",P007988   ,Off Rebound (1),O,0.0,0.0,Maccabi FOX Tel Aviv,FC Barcelona Lassa,BAR,Maccabi FOX Tel Aviv,TEL,9,3,57.0,57.0,7.0,0.0,0.0,"SANDERS, RAKIM","HANGA, ADAM","HEURTEL, THOMAS","SERAPHIN, KEVIN","ORIOLA, PIERRE","SEGEV, ITAY","BOLDEN, JONAH","DIBARTOLOMEO, JOHN","ROLL, MICHAEL","JACKSON, PIERRE"
