CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,0,0,,,,0.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
OLY,15.0,09:53,1,3,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Three Pointer (0/1 -  0 pt),3FGA,0.0,0.0,Olympiacos Piraeus,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,9,53,7.0,7.0,,0.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
ULK,4.0,09:53,1,4,"MELLI, NICOLO",P002849   ,Def Rebound (1),D,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,9,53,7.0,7.0,0.0,0.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
OLY,13.0,09:20,1,5,"STRELNIEKS, JANIS",P000046   ,Foul (1),CM,0.0,0.0,Olympiacos Piraeus,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,9,20,40.0,40.0,33.0,0.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
ULK,23.0,09:20,1,6,"GUDURIC, MARKO",P004004   ,Foul Drawn (1),RV,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,9,20,40.0,40.0,0.0,0.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
ULK,24.0,09:10,1,7,"VESELY, JAN",P000925   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,9,10,50.0,50.0,10.0,2.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
ULK,23.0,09:07,1,8,"GUDURIC, MARKO",P004004   ,Assist (1),AS,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,9,7,53.0,53.0,3.0,0.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
OLY,16.0,08:46,2,10,"PAPANIKOLAOU, KOSTAS",P001255   ,Missed Three Pointer (0/1 -  0 pt),3FGA,2.0,0.0,Olympiacos Piraeus,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,8,46,14.0,74.0,21.0,0.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
OLY,15.0,08:43,2,11,"PRINTEZIS, GEORGIOS",PAMM      ,Off Rebound (1),O,2.0,0.0,Olympiacos Piraeus,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,8,43,17.0,77.0,3.0,0.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
OLY,15.0,08:43,2,12,"PRINTEZIS, GEORGIOS",PAMM      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Olympiacos Piraeus,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,8,43,17.0,77.0,0.0,0.0,2.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
ULK,70.0,08:24,2,13,"DATOME, LUIGI",PCCD      ,Three Pointer (1/1 -  3 pt),3FGM,5.0,2.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Olympiacos Piraeus,OLY,8,24,36.0,96.0,19.0,3.0,0.0,"MELLI, NICOLO","GUDURIC, MARKO","VESELY, JAN","DATOME, LUIGI","WANAMAKER, BRAD","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS","PAPANIKOLAOU, KOSTAS","MILUTINOV, NIKOLA","MANTZARIS, VANGELIS"
