CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,65,,          ,Begin Period,BP,0.0,0.0,,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,0,0,,,0.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
ULK,4.0,09:39,1,66,"MELLI, NICOLO",P002849   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,9,39,21.0,21.0,0.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
BAM,2.0,09:39,1,67,"HICKMAN, RICKY",P004159   ,Def Rebound (1),D,0.0,0.0,Brose Bamberg,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,9,39,21.0,21.0,0.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
ULK,44.0,09:13,1,68,"DUVERIOGLU, AHMET",P006399   ,Foul (1),CM,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,9,13,47.0,47.0,26.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
BAM,21.0,09:13,1,69,"RUBIT, AUGUSTINE",P006477   ,Foul Drawn (1),RV,0.0,0.0,Brose Bamberg,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,9,13,47.0,47.0,0.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
BAM,,08:58,2,71,,          ,Turnover (1),TO,0.0,0.0,Brose Bamberg,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,58,2.0,62.0,15.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
BAM,2.0,08:43,2,72,"HICKMAN, RICKY",P004159   ,Foul (1),CM,0.0,0.0,Brose Bamberg,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,43,17.0,77.0,15.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
ULK,35.0,08:43,2,73,"MUHAMMED, ALI",P001324   ,Foul Drawn (1),RV,0.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,43,17.0,77.0,0.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
ULK,44.0,08:34,2,74,"DUVERIOGLU, AHMET",P006399   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,34,26.0,86.0,9.0,2.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
ULK,35.0,08:32,2,75,"MUHAMMED, ALI",P001324   ,Assist (1),AS,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,32,28.0,88.0,2.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
ULK,44.0,08:19,2,76,"DUVERIOGLU, AHMET",P006399   ,Foul (2),CM,2.0,0.0,Fenerbahce Dogus Istanbul,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,19,41.0,101.0,13.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
BAM,16.0,08:19,2,77,"OLINDE, LOUIS",P006919   ,Foul Drawn (1),RV,2.0,0.0,Brose Bamberg,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,19,41.0,101.0,0.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
BAM,16.0,08:19,2,78,"OLINDE, LOUIS",P006919   ,Free Throw In (1/1 -  1 pt),FTM,2.0,1.0,Brose Bamberg,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,19,41.0,101.0,0.0,0.0,1.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
BAM,3.0,08:19,2,79,"WRIGHT, DORELL",P008049   ,Assist (1),AS,2.0,1.0,Brose Bamberg,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,19,41.0,101.0,0.0,0.0,0.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
BAM,16.0,08:19,2,80,"OLINDE, LOUIS",P006919   ,Free Throw In (2/2 -  2 pt),FTM,2.0,2.0,Brose Bamberg,Fenerbahce Dogus Istanbul,ULK,Brose Bamberg,BAM,8,19,41.0,101.0,0.0,0.0,1.0,"MELLI, NICOLO","DUVERIOGLU, AHMET","MUHAMMED, ALI","GUDURIC, MARKO","MAHMUTOGLU, MELIH","HICKMAN, RICKY","RUBIT, AUGUSTINE","OLINDE, LOUIS","WRIGHT, DORELL","ZISIS, NIKOS"
