CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,20,,          ,Begin Period,BP,0.0,0.0,,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,0,0,,,,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
BAS,11.0,09:54,1,21,"JANNING, MATT",P004165   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Baskonia Vitoria Gasteiz,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,9,54,6.0,6.0,,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
BAS,11.0,09:52,1,22,"JANNING, MATT",P004165   ,Off Rebound (1),O,0.0,0.0,Baskonia Vitoria Gasteiz,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,9,52,8.0,8.0,2.0,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
BAS,15.0,09:44,1,23,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Baskonia Vitoria Gasteiz,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,9,44,16.0,16.0,8.0,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
MAD,33.0,09:42,1,24,"THOMPKINS, TREY",P005836   ,Def Rebound (1),D,0.0,0.0,Real Madrid,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,9,42,18.0,18.0,2.0,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
MAD,22.0,09:25,1,25,"TAVARES, WALTER",P005791   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Real Madrid,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,9,25,35.0,35.0,17.0,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
BAS,15.0,09:23,1,26,"GRANGER, JAYSON",P003024   ,Def Rebound (1),D,0.0,0.0,Baskonia Vitoria Gasteiz,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,9,23,37.0,37.0,2.0,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
BAS,15.0,09:08,1,27,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/2 -  0 pt),2FGA,0.0,0.0,Baskonia Vitoria Gasteiz,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,9,8,52.0,52.0,15.0,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
BAS,15.0,09:08,1,28,"GRANGER, JAYSON",P003024   ,Shot Rejected (1),AG,0.0,0.0,Baskonia Vitoria Gasteiz,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,9,8,52.0,52.0,0.0,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
MAD,22.0,09:05,1,29,"TAVARES, WALTER",P005791   ,Block (1),FV,0.0,0.0,Real Madrid,Real Madrid,MAD,Baskonia Vitoria Gasteiz,BAS,9,5,55.0,55.0,3.0,0.0,0.0,"THOMPKINS, TREY","TAVARES, WALTER","CAUSEUR, FABIEN","CAMPAZZO, FACUNDO","TAYLOR, JEFFERY","JANNING, MATT","GRANGER, JAYSON","TIMMA, JANIS","SHENGELIA, TORNIKE","VOIGTMANN, JOHANNES"
