CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,0,0,,,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
OLY,11.0,09:59,1,3,"MILUTINOV, NIKOLA",P003941   ,Foul (1),CM,0.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,9,59,1.0,1.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
TEL,45.0,09:59,1,4,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul Drawn (1),RV,0.0,0.0,Maccabi FOX Tel Aviv,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,9,59,1.0,1.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
TEL,45.0,09:46,1,5,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Maccabi FOX Tel Aviv,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,9,46,14.0,14.0,13.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
OLY,17.0,09:44,1,6,"MANTZARIS, VANGELIS",P003537   ,Def Rebound (1),D,0.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,9,44,16.0,16.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
OLY,17.0,09:27,1,7,"MANTZARIS, VANGELIS",P003537   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,9,27,33.0,33.0,17.0,2.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
OLY,7.0,09:15,1,8,"SPANOULIS, VASSILIS",PJUO      ,Foul (1),CM,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,9,15,45.0,45.0,12.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
TEL,7.0,09:15,1,9,"KANE, DEANDRE",P005781   ,Foul Drawn (1),RV,2.0,0.0,Maccabi FOX Tel Aviv,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,9,15,45.0,45.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
TEL,5.0,09:07,1,10,"ROLL, MICHAEL",P004974   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Maccabi FOX Tel Aviv,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,9,7,53.0,53.0,8.0,0.0,2.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
TEL,55.0,09:05,1,11,"JACKSON, PIERRE",P005112   ,Assist (1),AS,2.0,2.0,Maccabi FOX Tel Aviv,Olympiacos Piraeus,OLY,Maccabi FOX Tel Aviv,TEL,9,5,55.0,55.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","PAPANIKOLAOU, KOSTAS","PARAKHOUSKI, ARTSIOM","KANE, DEANDRE","ROLL, MICHAEL","JACKSON, PIERRE","THOMAS, DESHAUN"
