player1,player2,player3,player4,player5,2FGA,2FGM,3FGA,3FGM,AG,AS,CM,CMU,D,FTA,FTM,FV,O,OF,RV,ST,TEAM,TO,seconds
"ABALDE, ALBERTO","DOORNEKAMP, AARON","GREEN, ERICK","PLEISS, TIBOR","THOMAS, WILL",15,6,5,3,1,9,4,0,8,9,6,2,3,0,6,3,PAM,3,448.0
"ABALDE, ALBERTO","DUBLJEVIC, BOJAN","MARTINEZ, RAFA","SAN EMETERIO, FERNANDO","THOMAS, WILL",14,6,14,10,3,13,6,0,11,4,3,0,2,1,7,3,PAM,4,516.0
"ABALDE, ALBERTO","DUBLJEVIC, BOJAN","MARTINEZ, RAFA","SASTRE, JOAN","THOMAS, WILL",15,8,13,5,2,8,5,0,9,6,6,1,5,0,11,2,PAM,1,530.0
"ABALDE, ALBERTO","GREEN, ERICK","PLEISS, TIBOR","SAN EMETERIO, FERNANDO","THOMAS, WILL",11,5,6,3,0,4,1,0,5,2,2,0,3,0,6,1,PAM,4,343.0
"ABALDE, ALBERTO","GREEN, ERICK","PLEISS, TIBOR","THOMAS, WILL","VAN ROSSOM, SAM",9,5,8,3,1,3,2,0,8,5,4,2,3,0,5,1,PAM,2,330.0
"ABALDE, ALBERTO","GREEN, ERICK","PLEISS, TIBOR","THOMAS, WILL","VIVES, GUILLEM",5,2,10,4,0,5,6,1,4,5,3,0,3,1,4,3,PAM,6,341.0
"ABALDE, ALBERTO","MARTINEZ, RAFA","PLEISS, TIBOR","SASTRE, JOAN","THOMAS, WILL",11,6,14,10,1,11,10,0,14,5,5,2,2,1,11,1,PAM,7,485.0
"ABALDE, ALBERTO","MARTINEZ, RAFA","PLEISS, TIBOR","THOMAS, WILL","VAN ROSSOM, SAM",11,7,11,7,0,12,5,0,8,5,5,1,5,0,3,2,PAM,4,454.0
"ABASS, AWUDU","BERTANS, DAIRIS","GUDAITIS, ARTURAS","JERRELLS, CURTIS","M'BAYE, AMATH",9,4,5,2,1,3,3,0,8,6,3,1,4,0,5,1,MIL,3,307.0
"ADAMS, JOSH","BALBAY, DOGUS","DUNSTON, BRYANT","SIMON, KRUNOSLAV","STIMAC, VLADIMIR",9,4,5,4,0,3,2,0,8,2,1,2,1,0,6,0,IST,2,377.0
